topic,season,value
Accommodation Website,Italy,45
Accommodation Website,Average EU,45
Hiring staff with the right skill set,Italy,30
Hiring staff with the right skill set,Average EU,22
Online Advertising,Italy,29
Online Advertising,Average EU,30
Social Media Marketing,Italy,29
Social Media Marketing,Average EU,25
Digital Enhancement of stays,Italy,24
Digital Enhancement of stays,Average EU,29
Real-time booking engine,Italy,20
Real-time booking engine,Average EU,28
Customer Relationship Management,Italy,24
Customer Relationship Management,Average EU,25
Online Distribution Channel Management,Italy,21
Online Distribution Channel Management,Average EU,18
Supplier Management,Italy,11
Supplier Management,Average EU,16
Revenue Management,Italy,6
Revenue Management,Average EU,14
Artificial Intelligence,Italy,10
Artificial Intelligence,Average EU,6