original_dmo,original_coordinates,original_latitude,original_longitude,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
A.T.L.del Cuneese valli alpine e città d’arte,"44.39169846566252, 7.545363314024803",44.3916984656625,7.5453633140248,2.977547734743969,"ATL del Cuneese, Via Carlo Pascal, 7, 12100 Cuneo CN, Italia",44.3917149,7.5453929,ATL del Cuneese,7,Via Carlo Pascal,12100,Comune di Cuneo,Centro Storico,Cuneo,Cuneo,CN,Piemonte,PIE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Agenzia Campania Turismo,"40.85792732321478, 14.283900823046022",40.8579273232148,14.283900823046,3.775366799853573,"E7, Isola E, 80143 Napoli NA, Italia",40.857900400000005,14.284199706479903,E7,,Isola E,80143,Comune di Napoli,Municipalità 4,Napoli,Napoli,NA,Campania,CAM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Agenzia Turistica Locale della Provincia di Novara,"45.44431, 8.61748",45.44431,8.61748,0,"Castello Visconteo - Sforzesco di Novara, Largo Donatori di Sangue, 28100 Novara NO, Italia",45.444413350000005,8.61729129805997,Castello Visconteo - Sforzesco di Novara,,Largo Donatori di Sangue,28100,,Sacro Cuore,Novara,Novara,NO,Piemonte,PIE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Agenzia Turistica Locale Distretto Turistico dei Laghi,"45.883634304977804, 8.541859126098887",45.8836343049778,8.54185912609889,0.3421991942070398,"Distretto Turistico dei Laghi, Monti e Valli d'Ossola, Corso Italia, 26, 28838 Binda VB, Italia",45.8836332,8.541855,"Distretto Turistico dei Laghi, Monti e Valli d'Ossola",26,Corso Italia,28838,Comune di Stresa,,Binda,Verbano-Cusio-Ossola,VB,Piemonte,PIE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Alpe di Siusi Marketing,"46.517290362022344, 11.502325727112046",46.5172903620223,11.502325727112,2.4466287429845206,"39050 Fiè allo Sciliar BZ, Italia",46.5173848,11.5026421,,,,39050,,,Fiè allo Sciliar,Bolzano,BZ,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Alta Val Venosta,"46.69075254429379, 10.543157252120766",46.6907525442938,10.5431572521208,0,"Via S. Benedetto, 1, 39024 Laudes BZ, Italia",46.6907511,10.543110801451764,,1,Via S. Benedetto,39024,,,Laudes,Bolzano,BZ,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amalfi Coast Convention Bureau,"40.65009667259217, 14.611794205025936",40.6500966725922,14.6117942050259,15.169379823998849,"Via Roma, 16, 84010 Scala SA, Italia",40.650066,14.611619,,16,Via Roma,84010,Comune di Scala,,Scala,Salerno,SA,Campania,CAM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
Ancona Tourism,"43.616777711773494, 13.518884797225343",43.6167777117735,13.5188847972253,0,"Palazzo del Popolo (Municipio), Largo Ventiquattro Maggio, 60122 Ancona AN, Italia",43.61672995,13.518887556987544,Palazzo del Popolo (Municipio),,Largo Ventiquattro Maggio,60122,,Borgo Rodi,Ancona,Ancona,AN,Marche,MAR,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
APT Alpe Cimbra,"45.916460063295425, 11.170351774252449",45.9164600632954,11.1703517742524,0,"Magnifica Comunità di Folgaria, Via Roma, 60, 38064 Folgaria TN, Italia",45.91637745,11.170366600000001,Magnifica Comunità di Folgaria,60,Via Roma,38064,,,Folgaria,Provincia di Trento,,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
APT Basilicata,"40.63197880000011, 15.788682570552277",40.6319788000001,15.7886825705523,20.355840678375742,"Azienda di Promozione Turistica di Basilicata, Via del Gallitello, 89, 85100 Potenza PZ, Italia",40.631903,15.788463,Azienda di Promozione Turistica di Basilicata,89,Via del Gallitello,85100,Comune di Potenza,Gallitello,Potenza,Potenza,PZ,Basilicata,BAS,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
APT Livigno,"46.52276257723174, 10.124413058893946",46.5227625772317,10.1244130588939,0,"Plaza Plachéda, Via Saroch, 23041 Livigno SO, Italia",46.5227936,10.12411335735424,Plaza Plachéda,,Via Saroch,23041,,,Livigno,Sondrio,SO,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ApT San Martino di Castrozza Primiero e Vanoi Soc. Coop.,"46.17426048861933, 11.828583895210173",46.1742604886193,11.8285838952102,0,"SS50, 38054 Fiera di Primiero TN, Italia",46.174486900000005,11.828084652083328,Fiera di Primiero,,SS50,38054,Pieve,,Fiera di Primiero,Provincia di Trento,,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
APT Servizi Emilia-Romagna,"44.50762942614331, 11.364443648623734",44.5076294261433,11.3644436486237,1.6018858979466786,"Centro IFOA, Viale Aldo Moro, 62, 40127 Bologna BO, Italia",44.5076356,11.3644619,Centro IFOA,62,Viale Aldo Moro,40127,Fiera District,San Donato-San Vitale,Bologna,Bologna,BO,Emilia-Romagna,EMI,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
APT Val di Fassa,"46.476259061779224, 11.738653729446423",46.4762590617792,11.7386537294464,11.922885794207797,"Strèda Roma, 28, 38031 Campitello di Fassa TN, Italia",46.4762064,11.7385181,,28,Strèda Roma,38031,Comune di Campitello di Fassa,,Campitello di Fassa,Provincia di Trento,,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"APT Valli di Sole, Peio e Rabbi Scpa","46.354224679121586, 10.91476989728586",46.3542246791216,10.9147698972859,5.902039457217348,"Azienda per il Turismo Val di Sole, Via Guglielmo Marconi, 38027 Malé TN, Italia",46.3541486,10.914835667034701,Azienda per il Turismo Val di Sole,,Via Guglielmo Marconi,38027,Comune di Malè,,Malé,Provincia di Trento,,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
APT Valsugana Lagorai,"46.008894227438354, 11.306388139649933",46.0088942274384,11.3063881396499,6.616732794531227,"Cassa Rurale di Levico, Via Gerolamo Avancini, 38056 Levico Terme TN, Italia",46.0088423,11.3063463,Cassa Rurale di Levico,,Via Gerolamo Avancini,38056,Comune di Levico Terme,,Levico Terme,Provincia di Trento,,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ARIA S.p.A. Azienda Regionale per l'Innovazione e gli Acquisti,"45.491237382115656, 9.194190842404653",45.4912373821157,9.19419084240465,13.34027138840498,"Via Torquato Taramelli, 26, 20124 Milano MI, Italia",45.4911448,9.194082,,26,Via Torquato Taramelli,20124,,Municipio 2,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Associazione Distretto Turistico Costa d'Amalfi,"40.65151617215196, 14.642547441894745",40.651516172152,14.6425474418947,16.988980920984964,"Corso Regina, 134, 84010 Maiori SA, Italia",40.651474,14.642741,,134,Corso Regina,84010,Comune di Maiori,,Maiori,Salerno,SA,Campania,CAM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
ATL Alexala,"44.91305589779972, 8.615171894906114",44.9130558977997,8.61517189490611,0,"Palazzo Rosso - Comune di Alessandria, 1, 15121 Alessandria AL, Italia",44.9127177,8.615512569216751,Palazzo Rosso - Comune di Alessandria,1,,15121,,,Alessandria,Alessandria,AL,Piemonte,PIE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ATL Biella Valsesia Vercelli,"45.56247071253945, 8.056429418723024",45.5624707125395,8.05642941872302,24.290172540007323,"Via Alfonso Lamarmora, 3, 13900 Biella BI, Italia",45.56259,8.0566908,,3,Via Alfonso Lamarmora,13900,Comune di Biella,Vernato,Biella,Biella,BI,Piemonte,PIE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Azienda Autonoma di Soggiorno e Turismo Termoli,"42.00089092596429, 14.993315835462104",42.0008909259643,14.9933158354621,2.5226110511132718,"Piazza Garibaldi, 86039 Termoli CB, Italia",42.0007888,14.9933865,Piazza Garibaldi,,Piazza Garibaldi,86039,,,Termoli,Campobasso,CB,Molise,MOL,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Azienda di soggiorno di Merano,"46.6706144411704, 11.162084897301211",46.6706144411704,11.1620848973012,1.9764791062365132,"Freiheitsstrasse, 43/A, 39012 Merano BZ, Italia",46.6706,11.1621,,43/A,Freiheitsstrasse,39012,Comune di Merano,,Merano,Bolzano,BZ,Trentino-Alto Adige/Sudtirol,,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
Azienda di soggiorno e turismo di Bolzano,"46.49527756501183, 11.354678097292682",46.4952775650118,11.3546780972927,0,"Camera di Commercio, Via Alto Adige, 60, 39100 Bolzano BZ, Italia",46.49545845,11.354812141315538,Camera di Commercio,60,Via Alto Adige,39100,,Centro Storico,Bolzano,Bolzano,BZ,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Azienda per il Turismo Dolomiti Paganella SB,"46.163762879016026, 11.003218627539523",46.163762879016,11.0032186275395,0.8697491176205276,"Guardia Medica e Punto Prelievi, Piazzale Paganella, 3, 38010 Andalo TN, Italia",46.16377,11.0032233,Guardia Medica e Punto Prelievi,3,Piazzale Paganella,38010,Andalo,,Andalo,Provincia di Trento,,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Azienda per il Turismo Val di Non,"46.43895624729183, 11.137399363319803",46.4389562472918,11.1373993633198,23.850963387952934,"Via Roma, 18, 38013 Fondo Trento, Italia",46.438812,11.137169,,18,Via Roma,38013,Fondo,,Fondo,Trento,TN,Trentino-Alto Adige/Sudtirol,,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
Bari Convention Bureau,"41.11884712448882, 16.87111539700521",41.1188471244888,16.8711153970052,7.853645217707986,"Piazza Aldo Moro, 29, 70122 Bari BA, Italia",41.118785,16.87116,,29,Piazza Aldo Moro,70122,Comune di Bari,,Bari,Bari,BA,Puglia,PUG,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
Bibione e San Michele al Tagliamento,"45.76389726372548, 12.994962654981421",45.7638972637255,12.9949626549814,0,"Municipio di San Michele al Tagliamento, Corso del Popolo, 2, 30028 San Michele al Tagliamento VE, Italia",45.76402935,12.994787803309546,Municipio di San Michele al Tagliamento,2,Corso del Popolo,30028,,,San Michele al Tagliamento,Venezia,VE,Veneto,VEN,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bologna Welcome,"44.49398956306286, 11.343175372368988",44.4939895630629,11.343175372369,2.032632689353199,"Salone della Podestà, Piazza Maggiore, 40121 Bologna BO, Italia",44.49408445,11.343223527319587,Salone della Podestà,,Piazza Maggiore,40121,Quadrilatero,Santo Stefano,Bologna,Bologna,BO,Emilia-Romagna,EMI,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Borghi Etruschi ETS,"41.9981504793392, 12.100283490915343",41.9981504793392,12.1002834909153,20.06072071427491,"Piazza Dei Tarquini, 8, 00052 Cerveteri Roma, Italia",41.998296,12.10014,,8,Piazza Dei Tarquini,00052,Comune di Cerveteri,,Cerveteri,Roma,RM,Lazio,LAZ,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
Budoni welcome,"40.70885800356787, 9.699446372180134",40.7088580035679,9.69944637218013,9.948037070111523,"Via Nazionale, 144, 08020 Limpiddu Gallura Nord-Est Sardegna, Italia",40.7087919,9.6995259,,144,Via Nazionale,08020,Comune di Budoni,,Limpiddu,Gallura Nord-Est Sardegna,,Sardegna,SAR,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cammino del perdono,"42.36270927918666, 13.384045997099545",42.3627092791867,13.3840459970995,5.073453383625934,"Chiesa di San Bernardino in Piazza d'Armi, Via Raffaele Paolucci, 67100 L'Aquila AQ, Italia",42.362816949999996,13.383809882329851,Chiesa di San Bernardino in Piazza d'Armi,,Via Raffaele Paolucci,67100,Santa Barbara,Pile,L'Aquila,L'Aquila,AQ,Abruzzo,ABR,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cavallino Treporti,"45.453740388063906, 12.453802310735561",45.4537403880639,12.4538023107356,0,"Comune di Cavallino-Treporti, Piazza Papa Giovanni Paolo II, 1, 30013 Ca' Savio VE, Italia",45.45370200000001,12.453823214187054,Comune di Cavallino-Treporti,1,Piazza Papa Giovanni Paolo II,30013,,,Ca' Savio,Venezia,VE,Veneto,VEN,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Città d'arte e ville venete del territorio trevigiano,"45.664349875028456, 12.245817426142006",45.6643498750285,12.245817426142,0.8555415333757695,"Corso del Popolo, 50, 31100 Treviso TV, Italia",45.6643422,12.2458182,,50,Corso del Popolo,31100,Comune di Treviso,San Zeno,Treviso,Treviso,TV,Veneto,VEN,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Comune Arzachena,"41.07928927140648, 9.388218186231336",41.0792892714065,9.38821818623134,12.626870920701972,"Piazza Antonio Segni, 2, 07021 Arzachena Gallura Nord-Est Sardegna, Italia",41.0791911,9.3882939,,2,Piazza Antonio Segni,07021,Comune di Arzachena,,Arzachena,Gallura Nord-Est Sardegna,,Sardegna,SAR,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Comune Castiglione della Pescaia,"42.76939585512188, 10.885612339446478",42.7693958551219,10.8856123394465,7.955200124073367,"La Terrazza di Castiglione, Via Santa Maria, 58043 Castiglione della Pescaia GR, Italia",42.7694625,10.8855769,La Terrazza di Castiglione,,Via Santa Maria,58043,Comune di Castiglione della Pescaia,,Castiglione della Pescaia,Grosseto,GR,Toscana,TOS,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Comune Castiglione della Pescaia,"42.76939585512188, 10.885612339446478",42.7693958551219,10.8856123394465,7.955200124073367,"La Terrazza di Castiglione, Via Santa Maria, 58043 Castiglione della Pescaia GR, Italia",42.7694625,10.8855769,La Terrazza di Castiglione,,Via Santa Maria,58043,Comune di Castiglione della Pescaia,,Castiglione della Pescaia,Grosseto,GR,Toscana,TOS,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Comune Catanzaro,"38.904971130792994, 16.595316098778063",38.904971130793,16.5953160987781,0,"Comune di Catanzaro, Via Tripoli, 88100 Catanzaro CZ, Italia",38.90500435,16.595419701703086,Comune di Catanzaro,,Via Tripoli,88100,,Siano,Catanzaro,Catanzaro,CZ,Calabria,CAL,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Comune di Assisi,"43.070823679150244, 12.615038926039635",43.0708236791502,12.6150389260396,0,"Palazzo dei Priori, Via dell'Arco dei Priori, 06081 Assisi PG, Italia",43.0709619,12.614849636406074,Palazzo dei Priori,,Via dell'Arco dei Priori,06081,,,Assisi,Perugia,PG,Umbria,UMB,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Comune di Bari,"41.12577039760466, 16.86774212588019",41.1257703976047,16.8677421258802,0,"Palazzo di Città, Corso Vittorio Emanuele II, 84, 70122 Bari BA, Italia",41.1255176,16.867880996739864,Palazzo di Città,84,Corso Vittorio Emanuele II,70122,,Murat,Bari,Bari,BA,Puglia,PUG,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Comune di Cagliari - Ufficio Turismo,"39.21531463519198, 9.1102936821267",39.215314635192,9.1102936821267,0,"Comune di Cagliari, Via Giovanni Maria Angioy, 09124 Cagliari CA, Italia",39.21534035,9.110268245557148,Comune di Cagliari,,Via Giovanni Maria Angioy,09124,,Stampace,Cagliari,Cagliari,CA,Sardegna,SAR,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Comune di Genova,"44.411878829079036, 8.933118417298504",44.411878829079,8.9331184172985,0,"Palazzo Albini, Galleria Giuseppe Garibaldi, 16124 Genova GE, Italia",44.4120947,8.933220552255477,Palazzo Albini,,Galleria Giuseppe Garibaldi,16124,,Maddalena,Genova,Genova,GE,Liguria,LIG,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Comune di Grado,"45.67520837910399, 13.386525026088938",45.675208379104,13.3865250260889,0,"Municipio, Piazza Biagio Marin, 4, 34073 Grado Gorizia, Italia",45.6752103,13.386509423857287,Municipio,4,Piazza Biagio Marin,34073,,,Grado,Gorizia,GO,Friuli-Venezia Giulia,,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Comune di Modena,"44.64590804641943, 10.926228854875873",44.6459080464194,10.9262288548759,0,"Palazzo Comunale, Via Castellaro, 41121 Modena MO, Italia",44.6459839,10.926397721263942,Palazzo Comunale,,Via Castellaro,41121,Quartiere Saliceto,Centro Storico,Modena,Modena,MO,Emilia-Romagna,EMI,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Comune di Montecatini Terme,"43.884149577315675, 10.772753768333247",43.8841495773157,10.7727537683332,0,"Municipio, Viale Giuseppe Verdi, 51016 Montecatini Terme PT, Italia",43.88403635,10.772827409650931,Municipio,,Viale Giuseppe Verdi,51016,,,Montecatini Terme,Pistoia,PT,Toscana,TOS,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Comune di Orbetello,"42.437408179186534, 11.209761654850801",42.4374081791865,11.2097616548508,0,"Municipio, Piazza del Plebiscito, 1, 58015 Orbetello GR, Italia",42.4374303,11.209825346178691,Municipio,1,Piazza del Plebiscito,58015,,,Orbetello,Grosseto,GR,Toscana,TOS,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
